steamid,nJuegos,Indie,Action,Adventure,Strategy,Simulation,RPG,Free to Play,Early Access,Massively Multiplayer,Sports,Violent,Racing,Multiplayer,Singleplayer,Gore,Puzzle,Horror,Shooter,FPS,First-Person,Survival,Difficult,Rogue-like,Platformer,Turn-Based Strategy,Psychological Horror,Action RPG,RTS,MMORPG,JRPG,Zombies
76561197960265866,19,1,19,5,2,0,1,4,0,1,0,0,0,14,6,0,1,2,15,15,15,1,0,0,1,0,1,0,0,1,0,2
76561197960265867,52,3,46,10,4,2,8,8,4,6,0,0,0,33,20,1,1,7,36,33,34,10,0,0,1,0,0,1,2,1,0,10
76561197960265874,17,0,17,4,0,0,0,0,0,0,0,0,0,12,8,0,0,0,17,17,17,0,0,0,0,0,0,0,0,0,0,2
76561197960265876,184,55,112,50,47,20,23,5,7,8,4,2,4,82,104,11,31,12,50,50,47,11,8,8,16,16,1,3,7,0,0,11
76561197960265879,20,0,20,6,0,0,0,0,0,0,0,0,0,12,11,0,1,0,19,20,20,0,0,0,1,0,0,0,0,0,0,2
76561197960265881,16,0,16,6,0,0,0,0,0,0,0,0,0,10,7,0,1,0,14,15,15,0,0,0,1,0,0,0,0,0,0,1
76561197960265884,21,0,21,4,0,0,0,0,0,0,0,0,0,13,12,0,0,0,21,21,21,0,0,0,0,0,0,0,0,0,0,2
76561197960265885,32,8,27,10,2,3,0,1,0,0,2,0,2,21,12,0,2,0,20,19,19,0,0,0,3,0,0,0,1,0,0,2
76561197960265895,13,0,13,4,0,0,0,0,0,0,0,0,0,9,7,0,0,0,13,13,13,0,0,0,0,0,0,0,0,0,0,1
76561197960265901,144,22,107,51,19,13,34,6,0,0,0,3,1,52,81,11,16,15,49,51,45,3,6,2,15,3,3,3,2,0,0,7
76561197960265906,42,4,30,9,3,2,2,0,0,0,1,0,2,24,24,0,1,2,23,22,22,1,1,0,2,1,1,0,3,0,0,2
76561197960265908,44,1,40,7,4,4,1,19,1,5,1,1,1,35,13,0,1,3,33,30,30,3,1,0,0,0,0,1,0,0,0,6
76561197960265909,37,8,30,12,1,0,2,2,1,0,0,1,0,21,19,3,8,3,28,30,26,3,0,0,1,0,0,0,0,0,0,3
76561197960265915,2,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
76561197960265916,118,21,75,24,30,40,6,13,2,4,5,0,6,56,63,2,7,4,40,40,44,3,2,1,2,2,1,0,3,0,0,4
76561197960265917,451,161,106,92,234,204,93,34,37,22,13,0,7,160,227,0,19,0,34,29,47,36,23,20,5,56,0,3,38,10,6,2
76561197960265919,17,0,17,4,0,0,0,0,0,0,0,0,0,12,8,0,0,0,17,17,17,0,0,0,0,0,0,0,0,0,0,2
